sale_id,product_id,customer_id,sale_price,quantity,sale_date
1219,P102,C_032,$75,1,03/20/2023
1220,P105,C_098,$75,4,16-03-2023
1221,P102,C_070,,3,02/28/2023
1222,P101,C_070,$250.50,,11-03-2023
1223,P101,C_067,$250.50,5,08-02-2023
1224,P104,C_099,$250.50,4,08-02-2023
1225,P104,C_072,$150.00,2,18-02-2023
1226,P103,C_084,$250.50,,07-02-2023
1227,P104,C_046,$150.00,5,29-03-2023
1228,P101,C_088,,4,06-02-2023
1229,P105,C_056,$75,,25-01-2023
1230,P103,C_097,,,29-03-2023
1231,P101,C_091,,1,02-09-2023
1232,P101,C_085,$250.50,,17-01-2023
1233,P103,C_052,,4,23-01-2023
1234,P102,C_080,$250.50,5,03-06-2023
1235,P102,C_043,$30.00,3,13-02-2023
1236,P104,C_020,$75,2,28-03-2023
1237,P104,C_082,$250.50,1,20-02-2023
1238,P103,C_079,$150.00,4,17-02-2023
1239,P103,C_085,$30.00,,17-02-2023
1240,P102,C_071,$150.00,5,03/13/2023
1241,P105,C_039,,1,03/23/2023
1242,P103,C_094,$30.00,1,18-01-2023
1243,P101,C_049,$30.00,1,13-01-2023
1244,P105,C_028,$30.00,4,17-02-2023
1245,P105,C_064,120,,01/20/2023
1246,P101,C_073,120,4,05-02-2023
1247,P103,C_038,$30.00,4,01/31/2023
1248,P101,C_098,$250.50,5,03/24/2023
1249,P101,C_061,$250.50,2,01/16/2023
1250,P101,C_095,$75,,23-03-2023
1251,P101,C_017,$250.50,2,17-01-2023
1252,P102,C_019,120,2,17-03-2023
1253,P102,C_053,$75,5,01-01-2023
1254,P102,C_027,120,3,23-01-2023
1255,P101,C_027,$150.00,3,31-01-2023
1256,P103,C_013,$75,3,07-01-2023
1257,P104,C_078,$150.00,,01-09-2023
1258,P104,C_057,120,5,01/14/2023
1259,P105,C_039,120,1,26-03-2023
1260,P103,C_069,,1,01-08-2023
1261,P104,C_065,,1,04-03-2023
1262,P104,C_020,$150.00,3,19-03-2023
1263,P101,C_027,$250.50,5,23-03-2023
1264,P105,C_052,$30.00,5,03-09-2023
1265,P104,C_075,120,4,13-01-2023
1266,P101,C_094,,5,01/28/2023
1267,P104,C_040,$30.00,3,02/28/2023
1268,P104,C_023,$250.50,4,10-02-2023
1269,P103,C_058,$75,,02-03-2023
1270,P101,C_021,$150.00,4,13-01-2023
1271,P103,C_027,120,1,17-03-2023
1272,P105,C_053,,1,02/22/2023
1273,P104,C_017,$250.50,5,02-09-2023
1274,P101,C_084,120,2,20-01-2023
1275,P104,C_039,$150.00,3,03/13/2023
1276,P101,C_046,120,2,24-02-2023
1277,P105,C_089,,,13-03-2023
1278,P105,C_095,,3,04-01-2023
1279,P103,C_050,$250.50,3,01-01-2023
1280,P102,C_083,,4,09-01-2023
1281,P101,C_022,,5,01/28/2023
1282,P104,C_069,$250.50,2,02/17/2023
1283,P103,C_083,120,1,07-01-2023
1284,P102,C_090,$150.00,,01-11-2023
1285,P104,C_095,$30.00,4,03/19/2023
1286,P104,C_045,$75,5,01/15/2023
1287,P104,C_025,$250.50,,28-03-2023
1288,P104,C_078,,3,06-01-2023
1289,P104,C_087,$150.00,1,01/27/2023
1290,P102,C_028,$250.50,3,11-02-2023
1291,P101,C_074,,4,23-01-2023
1292,P104,C_079,,2,06-03-2023
1293,P103,C_020,$30.00,,01-06-2023
1294,P101,C_069,$150.00,3,03/15/2023
1295,P105,C_062,,,02/23/2023
1296,P101,C_062,$150.00,3,22-01-2023
1297,P104,C_099,$250.50,1,25-02-2023
1298,P102,C_066,120,4,09-03-2023
1299,P104,C_050,,3,01/29/2023
1300,P102,C_020,120,,15-01-2023
1301,P105,C_035,$250.50,3,24-03-2023
1302,P102,C_024,$75,3,26-01-2023
1303,P105,C_030,,1,23-01-2023
1304,P104,C_070,120,5,27-02-2023
1305,P105,C_093,,5,11-02-2023
1306,P103,C_030,$30.00,1,03-02-2023
1307,P103,C_046,120,1,15-02-2023
1308,P101,C_050,$30.00,4,05-01-2023
1309,P103,C_047,$150.00,,12-01-2023
1310,P105,C_075,$30.00,4,16-03-2023
1311,P101,C_068,120,,01/25/2023
1312,P105,C_071,120,2,01-08-2023
1313,P101,C_054,,1,06-03-2023
1314,P102,C_016,$75,,02/26/2023
1315,P105,C_077,120,2,02/16/2023
1316,P103,C_060,$30.00,3,28-03-2023
1317,P101,C_091,,3,01-09-2023
1318,P101,C_082,,4,02-06-2023
1319,P105,C_030,$250.50,1,16-03-2023
1320,P102,C_055,$250.50,,31-03-2023
1321,P104,C_027,120,,01-11-2023
1322,P105,C_059,,3,17-01-2023
1323,P105,C_022,,,24-02-2023
1324,P103,C_013,$250.50,3,24-01-2023
1325,P103,C_073,$75,2,18-01-2023
1326,P101,C_048,$150.00,5,11-03-2023
1327,P105,C_015,,3,21-03-2023
1328,P105,C_059,$75,2,24-01-2023
1329,P105,C_032,,4,01-06-2023
1330,P103,C_097,,2,26-02-2023
1331,P103,C_068,$75,5,01/31/2023
1332,P104,C_035,$250.50,,03/15/2023
1333,P104,C_047,$30.00,5,03-09-2023
1334,P102,C_036,120,2,02-02-2023
1335,P104,C_058,120,1,08-03-2023
1336,P103,C_021,$75,3,27-02-2023
1337,P102,C_066,$150.00,2,02/27/2023
1338,P101,C_064,$150.00,4,03-06-2023
1339,P102,C_060,$150.00,3,29-01-2023
1340,P103,C_023,,,12-02-2023
1341,P102,C_015,$250.50,4,31-03-2023
1342,P104,C_068,120,1,11-01-2023
1343,P103,C_038,$75,5,19-03-2023
1344,P104,C_025,$250.50,2,08-02-2023
1345,P101,C_041,$30.00,,03/21/2023
1346,P101,C_025,$30.00,5,10-03-2023
1347,P105,C_084,$75,,01/19/2023
1348,P104,C_011,120,3,31-01-2023
1349,P104,C_034,,,11-01-2023
1350,P103,C_019,120,5,06-03-2023
1351,P105,C_013,$30.00,4,06-01-2023
1352,P104,C_058,$250.50,,01-03-2023
1353,P101,C_055,$75,,26-03-2023
1354,P101,C_085,,3,18-01-2023
1355,P103,C_080,$250.50,,23-01-2023
1356,P104,C_072,,2,18-01-2023
1357,P104,C_015,$250.50,2,06-01-2023
1358,P101,C_051,$250.50,5,20-02-2023
1359,P104,C_043,$150.00,,01/25/2023
1360,P103,C_017,,3,04-02-2023
1361,P103,C_066,$30.00,,02/26/2023
1362,P103,C_034,$30.00,,03-05-2023
1363,P105,C_045,$150.00,,24-02-2023
1364,P104,C_088,$75,5,02-07-2023
1365,P101,C_021,$250.50,,02-07-2023
1366,P104,C_088,,4,22-01-2023
1367,P104,C_055,$30.00,1,15-02-2023
1368,P104,C_046,,1,10-01-2023
1369,P104,C_057,120,,28-03-2023
1370,P101,C_029,120,,26-02-2023
1371,P102,C_019,$75,,02/16/2023
1372,P104,C_083,$150.00,5,20-01-2023
1373,P104,C_058,$250.50,4,10-01-2023
1374,P102,C_078,$250.50,4,10-02-2023
1375,P103,C_042,$150.00,1,01/24/2023
1376,P105,C_060,120,1,02-03-2023
1377,P104,C_038,120,3,03/30/2023
1378,P102,C_026,$75,1,27-02-2023
1379,P104,C_022,,3,03/27/2023
1380,P101,C_081,120,3,08-02-2023
1381,P102,C_057,120,2,16-01-2023
1382,P102,C_041,$30.00,1,16-02-2023
1383,P105,C_058,$30.00,5,17-01-2023
1384,P101,C_019,$250.50,4,03-03-2023
1385,P104,C_063,120,1,01/17/2023
1386,P101,C_068,$30.00,,03-08-2023
1387,P102,C_081,,5,24-01-2023
1388,P104,C_075,$150.00,1,08-03-2023
1389,P103,C_032,$75,3,01-04-2023
1390,P103,C_077,$250.50,1,02-02-2023
1391,P105,C_046,$75,,08-02-2023
1392,P105,C_022,120,,22-01-2023
1393,P105,C_030,$75,,21-03-2023
1394,P105,C_054,120,1,04-01-2023
1395,P101,C_093,120,3,25-03-2023
1396,P105,C_064,120,,01-04-2023
1397,P105,C_048,,3,03-03-2023
1398,P104,C_049,$30.00,1,30-03-2023
1399,P102,C_067,$30.00,4,01-03-2023
1400,P103,C_088,$75,3,10-02-2023
1401,P103,C_062,$75,3,07-03-2023
1402,P101,C_051,$75,4,01/16/2023
1403,P104,C_042,$75,1,01-07-2023
1404,P104,C_089,$30.00,2,01/21/2023
1405,P105,C_051,$75,2,05-03-2023
1406,P104,C_074,$250.50,4,03-01-2023
1407,P104,C_075,$30.00,2,28-01-2023
1408,P103,C_017,$150.00,3,05-03-2023
1409,P104,C_047,120,1,01/14/2023
1410,P102,C_044,,3,02/21/2023
1411,P101,C_062,$150.00,5,13-03-2023
1412,P103,C_081,$250.50,1,19-02-2023
1413,P104,C_081,$250.50,5,29-03-2023
1414,P101,C_027,$150.00,4,02/17/2023
1415,P105,C_057,$75,2,19-03-2023
1416,P104,C_075,$150.00,1,05-01-2023
1417,P103,C_071,120,4,20-01-2023
1418,P105,C_028,$250.50,5,10-02-2023
1419,P104,C_089,,3,03/17/2023
1420,P105,C_076,120,4,01-04-2023
1421,P103,C_071,$150.00,3,12-02-2023
1422,P101,C_064,120,3,30-03-2023
1423,P101,C_087,$30.00,3,25-03-2023
1424,P105,C_040,,1,03/16/2023
1425,P102,C_078,,,03/21/2023
1426,P102,C_098,$75,1,15-03-2023
1427,P101,C_035,$150.00,4,02-10-2023
1428,P102,C_063,,2,22-02-2023
1429,P105,C_071,,,08-01-2023
1430,P102,C_077,$75,5,11-02-2023
1431,P104,C_078,$30.00,3,01/23/2023
1432,P105,C_054,120,3,28-03-2023
1433,P103,C_089,$30.00,2,02-01-2023
1434,P105,C_049,$75,3,06-02-2023
1435,P102,C_099,,4,02-10-2023
1436,P103,C_082,,3,06-02-2023
1437,P105,C_097,120,4,02/20/2023
1438,P102,C_048,$150.00,3,01-11-2023
1439,P104,C_094,$250.50,,03-03-2023
1440,P102,C_079,$250.50,5,03/31/2023
1441,P102,C_024,120,,17-03-2023
1442,P102,C_017,,5,29-01-2023
1443,P102,C_017,$150.00,4,12-02-2023
1444,P104,C_023,,2,01-01-2023
1445,P102,C_063,,4,03-03-2023
1446,P102,C_047,$250.50,3,24-03-2023
1447,P101,C_094,120,2,10-03-2023
1448,P101,C_033,$30.00,2,01-05-2023
1449,P104,C_034,,3,05-01-2023
1450,P103,C_083,120,1,02-12-2023
1451,P104,C_093,120,5,05-03-2023
1452,P105,C_070,$250.50,2,01/15/2023
1453,P102,C_069,,3,24-01-2023
1454,P103,C_048,120,,25-01-2023
1455,P105,C_092,$30.00,4,03-07-2023
1456,P101,C_062,,1,24-01-2023
1457,P104,C_052,$75,1,02-03-2023
1458,P102,C_068,$250.50,3,08-02-2023
1459,P105,C_012,$250.50,,16-02-2023
1460,P102,C_018,,1,03-01-2023
1461,P102,C_062,,5,04-01-2023
1462,P101,C_092,$250.50,3,20-03-2023
1463,P102,C_028,$30.00,2,28-02-2023
1464,P105,C_058,$30.00,,03-12-2023
1465,P105,C_096,$75,2,29-03-2023
1466,P101,C_078,$30.00,5,04-01-2023
1467,P101,C_083,$150.00,1,12-03-2023
1468,P102,C_084,120,2,01/22/2023
1469,P105,C_067,$150.00,,27-01-2023
1470,P105,C_073,$150.00,5,27-02-2023
1471,P104,C_027,120,4,28-02-2023
1472,P101,C_082,$30.00,,09-02-2023
1473,P101,C_061,$250.50,1,28-01-2023
1474,P101,C_016,$30.00,3,31-03-2023
1475,P105,C_018,$150.00,4,01-05-2023
1476,P104,C_034,$75,,03/24/2023
1477,P103,C_059,$30.00,4,18-02-2023
1478,P105,C_028,,3,16-01-2023
1479,P105,C_061,120,2,29-01-2023
1480,P101,C_049,$30.00,,03-11-2023
1481,P105,C_059,$75,2,02/28/2023
1482,P102,C_046,$75,,15-01-2023
1483,P104,C_089,$150.00,2,27-01-2023
1484,P101,C_087,$150.00,4,18-03-2023
1485,P101,C_042,,1,02/21/2023
1486,P102,C_080,$75,1,18-01-2023
1487,P103,C_040,,5,10-02-2023
1488,P105,C_097,$250.50,2,08-02-2023
1489,P105,C_039,$30.00,3,05-02-2023
1490,P105,C_086,,2,22-03-2023
1491,P104,C_082,$30.00,1,14-02-2023
1492,P104,C_078,$250.50,,02/23/2023
1493,P102,C_049,$30.00,2,03-10-2023
1494,P102,C_039,$250.50,,01/19/2023
1495,P101,C_082,$30.00,4,13-03-2023
1496,P102,C_060,$75,3,01/27/2023
1497,P101,C_068,$250.50,1,10-03-2023
1498,P102,C_017,$250.50,4,28-03-2023
1499,P105,C_016,$150.00,2,17-03-2023
1500,P105,C_038,$30.00,2,02-12-2023
1501,P101,C_038,$75,,16-01-2023
1502,P104,C_042,,5,01-04-2023
1503,P104,C_041,120,3,02-06-2023
1504,P104,C_079,,3,02-09-2023
1505,P103,C_076,$30.00,4,13-01-2023
1506,P104,C_051,$75,3,02-10-2023
1507,P101,C_083,$75,,19-01-2023
1508,P103,C_081,120,5,02/23/2023
1509,P102,C_036,$250.50,2,18-02-2023
1510,P102,C_074,120,,03/29/2023
1511,P103,C_073,,,03-04-2023
1512,P102,C_056,$75,2,03-11-2023
1513,P102,C_080,,1,09-03-2023
1514,P101,C_096,$150.00,1,22-02-2023
1515,P102,C_019,,2,02-01-2023
1516,P105,C_069,$250.50,1,21-03-2023
1517,P105,C_072,,4,03-01-2023
1518,P105,C_081,$30.00,1,03-01-2023
1519,P103,C_079,$250.50,1,06-03-2023
1520,P104,C_033,$150.00,1,09-03-2023
1521,P102,C_035,120,5,02-02-2023
1522,P103,C_061,$150.00,3,02/21/2023
1523,P105,C_042,,2,08-02-2023
1524,P101,C_094,,1,01-12-2023
1525,P104,C_059,120,4,08-01-2023
1526,P101,C_032,$150.00,4,25-02-2023
1527,P103,C_083,$150.00,5,06-01-2023
1528,P102,C_099,120,4,04-02-2023
1529,P101,C_098,$250.50,5,14-03-2023
1530,P101,C_033,$250.50,1,27-01-2023
1531,P102,C_061,$150.00,3,21-01-2023
1532,P102,C_083,$30.00,,03-11-2023
1533,P104,C_028,,,11-01-2023
1534,P103,C_017,$150.00,4,30-01-2023
1535,P103,C_088,120,5,02/20/2023
1536,P101,C_092,$250.50,4,04-03-2023
1537,P103,C_081,$30.00,4,24-01-2023
1538,P105,C_095,$30.00,1,03/21/2023
1539,P102,C_020,$150.00,3,01/20/2023
1540,P102,C_060,$250.50,3,14-01-2023
1541,P101,C_050,$30.00,3,04-02-2023
1542,P102,C_022,$75,4,27-02-2023
1543,P105,C_076,$30.00,1,04-01-2023
1544,P103,C_081,$150.00,5,03/18/2023
1545,P104,C_012,$250.50,4,19-02-2023
1546,P105,C_042,120,5,22-01-2023
1547,P104,C_032,$75,3,02-08-2023
1548,P104,C_029,$150.00,2,02/25/2023
1549,P104,C_049,$30.00,1,02/16/2023
1550,P102,C_091,$30.00,5,20-03-2023
1551,P104,C_024,$75,3,01-01-2023
1552,P103,C_090,$30.00,3,02/26/2023
1553,P104,C_094,120,2,02-08-2023
1554,P105,C_099,$75,4,10-02-2023
1555,P104,C_051,$250.50,,30-03-2023
1556,P104,C_084,$75,3,02/18/2023
1557,P104,C_057,$150.00,5,26-01-2023
1558,P105,C_034,,5,04-01-2023
1559,P104,C_037,$30.00,3,30-03-2023
1560,P104,C_097,$30.00,2,03/23/2023
1561,P102,C_043,,2,02/24/2023
1562,P101,C_068,120,4,03/16/2023
1563,P105,C_075,,4,11-03-2023
1564,P103,C_079,120,,11-01-2023
1565,P102,C_095,,3,22-01-2023
1566,P105,C_016,120,,28-03-2023
1567,P104,C_053,$30.00,1,02-01-2023
1568,P103,C_039,120,,08-03-2023
1569,P105,C_099,120,2,02/27/2023
1570,P104,C_070,,5,30-03-2023
1571,P102,C_055,$150.00,4,01/14/2023
1572,P104,C_021,$150.00,,01/19/2023
1573,P103,C_054,$30.00,2,03-08-2023
1574,P103,C_071,$150.00,4,03/31/2023
1575,P103,C_019,$250.50,1,01-04-2023
1576,P101,C_054,,1,28-03-2023
1577,P102,C_077,$75,5,01/21/2023
1578,P105,C_065,$30.00,2,21-02-2023
1579,P102,C_034,,,02/25/2023
1580,P101,C_089,$75,4,03/17/2023
1581,P104,C_011,,2,01/27/2023
1582,P101,C_084,$150.00,5,01/24/2023
1583,P103,C_036,$30.00,1,03-02-2023
1584,P104,C_078,,3,03/18/2023
1585,P105,C_061,120,1,02/14/2023
1586,P104,C_090,$75,,04-01-2023
1587,P105,C_086,$150.00,,01/18/2023
1588,P101,C_041,$250.50,1,01/24/2023
1589,P102,C_076,$30.00,4,18-03-2023
1590,P105,C_060,$30.00,2,04-03-2023
1591,P105,C_099,,2,13-03-2023
1592,P104,C_047,$75,2,02-10-2023
1593,P105,C_017,$250.50,1,04-03-2023
1594,P102,C_060,120,5,03/25/2023
1595,P104,C_098,$30.00,4,04-01-2023
1596,P104,C_032,$150.00,5,04-01-2023
1597,P103,C_015,$250.50,2,03-10-2023
1598,P102,C_069,120,,05-03-2023
1599,P105,C_025,120,1,04-02-2023
1600,P103,C_080,$150.00,,26-02-2023
1601,P102,C_065,$150.00,,25-03-2023
1602,P103,C_015,$30.00,3,14-02-2023
1603,P104,C_026,$75,2,17-03-2023
1604,P103,C_089,,4,22-01-2023
1605,P102,C_037,$75,1,03/14/2023
1606,P105,C_046,120,5,01/22/2023
1607,P103,C_048,120,3,07-03-2023
1608,P101,C_028,$30.00,1,05-02-2023
1609,P102,C_027,$75,2,11-02-2023
1610,P104,C_073,$75,5,03/22/2023
1611,P104,C_059,$30.00,1,23-03-2023
1612,P104,C_076,,3,03/30/2023
1613,P104,C_073,$250.50,5,01-01-2023
1614,P101,C_069,,,03/31/2023
1615,P101,C_079,$30.00,2,24-02-2023
1616,P104,C_045,$250.50,3,13-02-2023
1617,P105,C_027,120,4,13-02-2023
1618,P101,C_016,$150.00,,28-02-2023
1619,P101,C_031,$30.00,4,01-01-2023
1620,P102,C_099,$75,,08-02-2023
1621,P103,C_022,,3,02-02-2023
1622,P103,C_096,,2,01-07-2023
1623,P103,C_040,$30.00,,12-01-2023
1624,P101,C_011,$75,4,10-01-2023
1625,P105,C_039,120,,26-02-2023
1626,P101,C_054,$150.00,4,30-03-2023
1627,P104,C_020,$75,4,12-01-2023
